taget,rssi,A1,P1,A2,P2,A3,P3,A4,P4,A5,P5,A6,P6,A7,P7,A8,P8,A9,P9,A10,P10,A11,P11,A12,P12,A13,P13,A14,P14,A15,P15,A16,P16,A17,P17,A18,P18,A19,P19,A20,P20,A21,P21,A22,P22,A23,P23,A24,P24,A25,P25,A26,P26,A27,P27,A28,P28,A29,P29,A30,P30,A31,P31,A32,P32,A33,P33,A34,P34,A35,P35,A36,P36,A37,P37,A38,P38,A39,P39,A40,P40,A41,P41,A42,P42,A43,P43,A44,P44,A45,P45,A46,P46,A47,P47,A48,P48,A49,P49,A50,P50,A51,P51,A52,P52
applause,-73,0,-13,-1,-14,-2,-15,-2,-15,-2,-14,-2,-13,-2,-12,-3,-12,-4,-13,-3,-13,-4,-13,-4,-13,-4,-13,-4,-12,-4,-12,-5,-13,-6,-12,-6,-11,-5,-11,-5,-11,-5,-11,-6,-11,-6,-10,-6,-11,-6,-12,-6,-12,-8,-11,-7,-12,-8,-12,-8,-11,-7,-11,-7,-12,-8,-12,-8,-11,-8,-12,-8,-12,-8,-12,-8,-12,-8,-13,-8,-14,-8,-14,-7,-14,-7,-14,-7,-14,-6,-13,-6,-14,-5,-15,-5,-15,-5,-15,-5,-16,-4,-15,-4,-14
applause,-72,-8,-13,-9,-13,-9,-13,-9,-13,-9,-13,-9,-11,-9,-11,-10,-10,-10,-10,-10,-11,-10,-11,-10,-11,-10,-11,-10,-10,-10,-10,-11,-9,-12,-8,-12,-7,-11,-7,-10,-7,-11,-7,-12,-7,-12,-6,-12,-7,-12,-8,-12,-7,-14,-4,-15,-5,-15,-5,-15,-4,-14,-5,-14,-5,-15,-5,-14,-5,-15,-4,-16,-5,-15,-5,-15,-6,-14,-7,-15,-6,-16,-5,-17,-5,-17,-6,-16,-6,-15,-6,-16,-7,-16,-7,-15,-9,-15,-10,-14,-10,-13,-10,-13,-10
applause,-73,4,-14,4,-14,4,-15,4,-16,3,-15,3,-14,3,-14,2,-14,1,-14,1,-14,1,-14,1,-15,0,-15,0,-14,0,-14,-1,-14,-2,-13,-2,-13,-2,-12,-1,-13,-1,-13,-1,-13,-2,-13,-3,-13,-2,-14,-2,-14,-4,-14,-4,-15,-4,-16,-5,-15,-4,-15,-4,-15,-4,-15,-4,-15,-4,-15,-3,-15,-3,-15,-4,-16,-4,-16,-4,-16,-3,-16,-3,-17,-3,-18,-2,-18,-1,-17,0,-17,0,-17,0,-17,1,-18,1,-18,2,-16,2,-16
applause,-73,16,-4,15,-5,15,-6,15,-6,15,-6,14,-5,13,-5,14,-6,13,-7,13,-8,13,-8,12,-8,12,-8,12,-8,12,-8,11,-9,10,-9,10,-9,9,-9,10,-10,10,-10,10,-10,9,-11,9,-12,10,-12,10,-12,10,-13,9,-13,9,-14,9,-14,8,-13,9,-13,9,-14,9,-13,10,-14,11,-14,11,-15,10,-14,10,-14,11,-14,12,-14,12,-14,12,-14,12,-14,13,-13,14,-13,14,-13,14,-12,14,-12,14,-12,15,-11,16,-10
applause,-72,-8,12,-8,12,-8,13,-8,13,-7,12,-7,12,-7,12,-7,12,-6,12,-6,12,-6,13,-6,13,-5,13,-4,12,-4,12,-4,13,-3,13,-3,12,-2,12,-2,12,-2,12,-2,12,-2,12,-1,13,0,13,0,13,1,13,0,14,0,15,1,14,1,14,1,14,0,14,0,15,-1,15,0,15,0,15,0,15,0,16,0,16,-1,16,-1,16,-1,17,-2,16,-3,16,-3,16,-3,16,-3,16,-4,16,-5,15,-5,14,-5,15
applause,-73,13,5,13,4,14,4,14,4,13,4,13,4,13,4,13,4,13,3,13,2,14,2,14,1,13,0,13,0,13,0,13,0,13,-1,12,0,12,0,12,0,12,-1,12,-1,12,-2,12,-3,13,-2,13,-1,13,-2,13,-3,13,-4,13,-4,13,-4,13,-3,13,-3,14,-3,14,-3,15,-3,14,-3,14,-3,14,-3,14,-2,15,-2,16,-1,17,-1,16,-1,15,1,15,2,15,2,16,1,16,2,16,3,16,3,15,4
applause,-73,4,-14,3,-15,2,-16,3,-16,3,-15,2,-14,2,-14,2,-13,1,-14,0,-14,0,-14,0,-14,-1,-15,-1,-14,-1,-13,-2,-14,-2,-13,-3,-12,-3,-12,-3,-13,-2,-13,-3,-13,-4,-13,-5,-13,-4,-14,-4,-13,-6,-13,-6,-14,-6,-14,-6,-14,-6,-13,-6,-14,-6,-14,-6,-14,-6,-14,-6,-15,-6,-14,-6,-15,-6,-16,-5,-16,-5,-16,-6,-17,-6,-18,-5,-17,-4,-17,-3,-17,-3,-16,-3,-17,-3,-18,-2,-17,-1,-16,0,-16
applause,-73,12,-6,11,-6,11,-6,11,-6,11,-6,11,-6,11,-6,10,-6,10,-6,9,-7,9,-7,9,-8,9,-8,8,-8,9,-7,9,-8,8,-9,7,-9,7,-8,8,-8,8,-8,7,-8,7,-8,6,-10,6,-10,7,-10,7,-10,7,-10,7,-11,7,-11,7,-11,7,-11,7,-11,7,-11,7,-11,7,-12,7,-12,7,-11,7,-11,8,-11,9,-11,9,-11,9,-11,10,-10,10,-10,11,-9,11,-9,11,-8,11,-9,10,-9,11,-9,12,-8
applause,-73,13,4,13,4,13,4,13,5,12,4,12,3,12,3,12,3,12,3,13,2,13,2,14,1,13,1,13,1,12,1,13,1,13,0,12,-1,11,-1,11,-1,11,0,12,-1,12,-2,12,-2,13,-1,14,-1,13,-3,14,-3,13,-3,13,-3,13,-3,13,-3,14,-3,14,-3,14,-3,15,-3,14,-2,14,-2,14,-2,15,-2,15,-2,16,-2,16,-2,15,-2,15,-1,15,1,15,1,15,1,15,1,15,2,15,2,15,3
applause,-73,-15,-3,-15,-2,-15,-2,-15,-2,-14,-2,-14,-2,-15,-2,-15,-2,-14,-1,-14,0,-14,1,-14,1,-13,1,-13,1,-13,1,-14,1,-13,1,-12,2,-12,2,-13,2,-13,1,-12,1,-12,2,-12,4,-12,4,-13,4,-13,4,-14,4,-14,4,-14,5,-13,4,-14,3,-14,3,-14,3,-15,4,-15,4,-15,4,-14,4,-15,4,-15,4,-15,3,-16,3,-16,4,-17,3,-17,1,-17,0,-17,-1,-16,-2,-16,-2,-16,-1,-15,-1,-15,-3
